zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
01741,01741,Zip Matches ZCTA,42.53662,-71.361832
01742,01742,Zip Matches ZCTA,42.462911,-71.364496
01745,01745,Zip Matches ZCTA,42.292114,-71.499197
01746,01746,Zip Matches ZCTA,42.195951,-71.45343
01747,01747,Zip Matches ZCTA,42.123007,-71.531404
01748,01748,Zip Matches ZCTA,42.224096,-71.540489
01749,01749,Zip Matches ZCTA,42.389071,-71.545864
01752,01752,Zip Matches ZCTA,42.349617,-71.547214
01754,01754,Zip Matches ZCTA,42.425955,-71.456256
01756,01756,Zip Matches ZCTA,42.09387,-71.544519
01757,01757,Zip Matches ZCTA,42.158692,-71.521419
01760,01760,Zip Matches ZCTA,42.284822,-71.348811
01770,01770,Zip Matches ZCTA,42.231947,-71.372963
01772,01772,Zip Matches ZCTA,42.302877,-71.530828
01773,01773,Zip Matches ZCTA,42.425506,-71.310812
01775,01775,Zip Matches ZCTA,42.429688,-71.512514
